METAR,RCKU,060830Z,110,03KT,080V140,9000,VCSH,FEW010 BKN025 BKN040,24,19,Q1013,NOSIG,A2991,VCSH,W,
METAR,RCKU,060800Z,020,05KT,9000,VCSH,FEW010 BKN025 BKN050,24,18,Q1012,NOSIG,A2991,VCSH,SW,,
METAR,RCKU,060730Z,020,07KT,9000,VCSH,FEW010 BKN025 BKN050,24,19,Q1012,NOSIG,A2991,VCSH,SW,,
METAR,RCKU,060700Z,360,09KT,9000,VCSH,FEW010 BKN025 BKN050,25,19,Q1013,NOSIG,A2991,VCSH,SW,,
METAR,RCKU,060630Z,020,06KT,9000,FEW008 BKN025 BKN060,25,19,Q1013,NOSIG,A2993,,,,,
METAR,RCKU,060600Z,350,05KT,9000,FEW008 BKN025 BKN050,25,19,Q1013,NOSIG,A2994,,,,,
METAR,RCKU,060530Z,360,05KT,9000,FEW010 SCT025 BKN050,26,20,Q1014,NOSIG,A2994,,,,,
METAR,RCKU,060500Z,030,01KT,9999,FEW010 SCT025 BKN050,26,20,Q1014,NOSIG,A2996,RA,AMT,T,,
METAR,RCKU,060430Z,050,03KT,9000,FEW010 SCT025 BKN050,24,20,Q1015,NOSIG,A2997,,,,,
SPECI,RCKU,060425Z,030,02KT,360V060,9000,FEW010 SCT025 BKN050,24,20,Q1015,NOSIG,A2998,,,,
METAR,RCKU,060400Z,230,02KT,9000,-DZ,FEW008 SCT025 BKN050,23,21,Q1015,NOSIG,A3000,RA,AMT,T,
METAR,RCKU,060330Z,230,02KT,7000,-DZ,FEW008 BKN025 BKN050,22,20,Q1016,NOSIG,A3002,,,,
METAR,RCKU,060300Z,240,02KT,5000,-DZ,BR,SCT008 BKN016 BKN040,20,20,Q1017,NOSIG,A3003,RA,AMT,T
SPECI,RCKU,060237Z,200,04KT,5000,-DZ,BR,SCT008 BKN016 BKN040,20,20,Q1017,NOSIG,A3004,,,
METAR,RCKU,060230Z,190,04KT,7000,3200S,-DZ,FEW008 BKN025 BKN050,21,20,Q1017,NOSIG,A3005,,,
METAR,RCKU,060200Z,200,05KT,9000,-DZ,FEW010 BKN030 BKN060,21,19,Q1017,NOSIG,A3005,RA,AMT,T,
SPECI,RCKU,060133Z,240,02KT,9000,-DZ,FEW010 BKN030 BKN050,22,19,Q1017,NOSIG,A3005,,,,
METAR,RCKU,060130Z,250,01KT,9999,VCSH,FEW010 BKN030 BKN060,22,19,Q1017,NOSIG,A3005,VCSH,SW,,
METAR,RCKU,060100Z,280,03KT,9999,VCSH,FEW010 BKN030 BKN060,21,19,Q1017,NOSIG,A3005,VCSH,SW,,
METAR,RCKU,060030Z,220,04KT,9999,VCSH,FEW010 BKN030 BKN050,21,19,Q1017,NOSIG,A3004,VCSH,SW,,
METAR,RCKU,060000Z,240,02KT,9999,VCSH,FEW010 BKN030 BKN050,21,18,Q1017,NOSIG,A3003,VCSH,SW,,
METAR,RCKU,052330Z,230,04KT,9999,FEW012 BKN030 BKN050,21,18,Q1016,NOSIG,A3002,,,,,
METAR,RCKU,052300Z,200,04KT,9999,FEW012 BKN030 BKN050,20,18,Q1016,NOSIG,A3001,,,,,
METAR,RCKU,052230Z,190,04KT,9999,FEW012 SCT030 BKN050,20,18,Q1016,NOSIG,A3000,,,,,
METAR,RCKU,052200Z,000,00KT,9999,FEW012 SCT030 BKN050,20,17,Q1015,NOSIG,A2998,,,,,
METAR,RCKU,052130Z,140,01KT,9999,FEW012 SCT030 BKN050,20,17,Q1015,NOSIG,A2998,,,,,
METAR,RCKU,052100Z,090,01KT,9999,FEW012 BKN050,21,17,Q1014,NOSIG,A2996,,,,,
METAR,RCKU,052030Z,080,05KT,9999,FEW012 BKN060,21,17,Q1014,A2996,,,,,,
METAR,RCKU,052000Z,090,03KT,9999,FEW012 BKN060,20,17,Q1014,A2996,,,,,,
METAR,RCKU,051900Z,050,01KT,9999,FEW012 BKN060,20,17,Q1014,A2997,,,,,,
METAR,RCKU,051800Z,080,02KT,9999,FEW012 BKN060,19,17,Q1015,A2998,,,,,,
METAR,RCKU,051700Z,000,00KT,9999,FEW012 BKN060,19,16,Q1016,A3000,,,,,,
METAR,RCKU,051600Z,000,00KT,9999,FEW012 BKN060,19,16,Q1016,A3001,,,,,,
METAR,RCKU,051500Z,360,01KT,9999,FEW012 BKN060,19,16,Q1016,A3001,,,,,,
METAR,RCKU,051400Z,340,02KT,9999,FEW012 SCT060,19,15,Q1016,A3001,,,,,,
METAR,RCKU,051330Z,350,01KT,9999,FEW012,20,15,Q1016,A3001,,,,,,
METAR,RCKU,051300Z,350,03KT,9999,FEW012,20,15,Q1016,A3001,,,,,,
METAR,RCKU,051230Z,350,05KT,9999,FEW012,20,14,Q1016,A3001,,,,,,
METAR,RCKU,051200Z,350,05KT,9999,FEW012,20,15,Q1016,A3001,,,,,,
METAR,RCKU,051130Z,340,03KT,9999,FEW012,21,16,Q1015,A3000,,,,,,
METAR,RCKU,051100Z,300,03KT,9999,FEW012,22,16,Q1015,A2999,,,,,,
METAR,RCKU,051030Z,300,03KT,9999,FEW012,23,16,Q1015,A2998,,,,,,
METAR,RCKU,051000Z,300,03KT,9999,FEW012,24,16,Q1015,A2997,,,,,,
METAR,RCKU,050930Z,290,05KT,9999,FEW012,25,16,Q1014,A2997,,,,,,
METAR,RCKU,050900Z,300,06KT,9999,FEW012,26,17,Q1014,NOSIG,A2996,,,,,
METAR,RCKU,050830Z,280,06KT,9999,FEW012,27,17,Q1014,NOSIG,A2995,,,,,
